,x1,x2,resp,correct
0,0.42,0.8,0.0,0
1,0.08,0.36,0.0,1
2,0.08,0.3,0.0,1
3,0.53,0.8,0.0,0
4,0.92,0.25,0.0,1
5,0.86,0.19,0.0,1
6,0.19,0.92,1.0,1
7,0.92,0.58,1.0,1
8,0.47,0.92,0.0,0
9,0.19,0.08,1.0,0
10,0.58,0.42,1.0,0
11,0.42,0.75,0.0,0
12,0.92,0.8,0.0,0
13,0.58,0.92,0.0,0
14,0.58,0.47,1.0,0
15,0.3,0.8,1.0,1
16,0.14,0.08,0.0,1
17,0.64,0.47,1.0,0
18,0.8,0.47,1.0,0
19,0.36,0.47,0.0,1
20,0.8,0.69,1.0,1
21,0.58,0.53,1.0,1
22,0.14,0.47,0.0,1
23,0.25,0.36,1.0,0
24,0.8,0.92,0.0,0
25,0.08,0.19,1.0,0
26,0.75,0.69,0.0,0
27,0.19,0.75,1.0,1
28,0.08,0.58,0.0,0
29,0.53,0.3,1.0,0
30,0.58,0.3,1.0,0
31,0.08,0.64,0.0,0
