,x1,x2,resp,correct
0,0.718,0.793,1.0,1
1,0.334,0.433,0.0,1
2,0.429,0.273,0.0,0
3,0.726,0.301,1.0,1
4,0.548,0.219,1.0,1
5,0.983,0.29,1.0,1
6,0.05,0.976,0.0,1
7,0.162,0.82,0.0,1
8,0.077,0.405,0.0,1
9,0.389,0.837,0.0,1
10,0.944,0.07,1.0,1
11,0.427,0.009,1.0,1
12,0.998,0.52,1.0,1
13,0.287,0.901,0.0,1
14,0.004,0.662,0.0,1
15,0.314,0.225,0.0,1
16,0.543,0.945,1.0,1
17,0.482,0.578,1.0,1
18,0.988,0.862,1.0,1
19,0.736,0.593,1.0,1
20,0.346,0.655,0.0,1
21,0.783,0.178,1.0,1
22,0.518,0.453,1.0,1
23,0.186,0.056,0.0,1
24,0.86,0.962,1.0,1
25,0.202,0.522,0.0,1
26,0.592,0.677,1.0,1
27,0.794,0.705,1.0,1
28,0.012,0.136,0.0,1
29,0.645,0.048,1.0,1
30,0.184,0.261,0.0,1
31,0.793,0.466,1.0,1
