,x1,x2,resp,correct
0,0.46,0.334,1.0,1
1,0.593,0.42,1.0,1
2,0.258,0.652,0.0,1
3,0.598,0.947,0.0,1
4,0.811,0.461,1.0,1
5,0.949,0.326,1.0,1
6,0.336,0.218,1.0,1
7,0.138,0.273,0.0,1
8,0.683,0.341,1.0,1
9,0.946,0.842,1.0,1
10,0.09,0.456,0.0,1
11,0.836,0.921,0.0,0
12,0.195,0.521,0.0,1
13,0.074,0.164,0.0,0
14,0.265,0.452,1.0,0
15,0.452,0.861,0.0,1
16,0.825,0.723,1.0,1
17,0.675,0.604,1.0,1
18,0.597,0.715,0.0,1
19,0.142,0.856,0.0,1
20,0.6,0.226,1.0,1
21,0.694,0.037,1.0,1
22,0.927,0.554,1.0,1
23,0.411,0.085,1.0,1
24,0.964,0.053,1.0,1
25,0.317,0.982,0.0,1
26,0.654,0.857,0.0,1
27,0.476,0.542,1.0,1
28,0.067,0.956,0.0,1
29,0.166,0.057,1.0,1
30,0.035,0.705,0.0,1
31,0.81,0.192,1.0,1
