,x1,x2,resp,correct
0,0.052,0.544,0.0,1
1,0.931,0.995,1.0,1
2,0.192,0.402,0.0,1
3,0.685,0.164,1.0,0
4,0.131,0.959,1.0,1
5,0.962,0.472,0.0,0
6,0.456,0.924,1.0,1
7,0.806,0.074,1.0,0
8,0.977,0.153,0.0,0
9,0.408,0.713,0.0,0
10,0.827,0.78,0.0,0
11,0.581,0.577,0.0,0
12,0.028,0.788,1.0,0
13,0.031,0.345,0.0,1
14,0.649,0.713,0.0,0
15,0.034,0.082,1.0,0
16,0.582,0.011,1.0,0
17,0.843,0.348,0.0,0
18,0.554,0.352,0.0,0
19,0.603,0.773,0.0,0
20,0.146,0.203,1.0,0
21,0.793,0.598,1.0,1
22,0.257,0.307,0.0,1
23,0.99,0.669,1.0,1
24,0.178,0.74,0.0,0
25,0.259,0.851,0.0,0
26,0.715,0.935,1.0,1
27,0.355,0.586,0.0,0
28,0.422,0.426,0.0,1
29,0.726,0.413,1.0,1
30,0.272,0.099,1.0,0
31,0.431,0.189,1.0,0
