,x1,x2,resp,correct
0,0.343,0.156,1.0,1
1,0.469,0.09,0.0,0
2,0.574,0.181,0.0,0
3,0.343,0.405,0.0,1
4,0.606,0.975,1.0,0
5,0.07,0.4,0.0,1
6,0.958,0.792,0.0,0
7,0.387,0.608,0.0,1
8,0.729,0.539,0.0,0
9,0.969,0.614,0.0,0
10,0.531,0.453,1.0,0
11,0.148,0.275,0.0,1
12,0.646,0.793,1.0,0
13,0.32,0.718,0.0,1
14,0.09,0.202,0.0,1
15,0.132,0.567,0.0,1
16,0.789,0.742,1.0,0
17,0.787,0.214,0.0,0
18,0.002,0.993,0.0,1
19,0.66,0.27,1.0,1
20,0.055,0.674,0.0,1
21,0.188,0.863,0.0,1
22,0.787,0.927,1.0,0
23,0.424,0.869,0.0,1
24,0.806,0.459,0.0,0
25,0.97,0.01,0.0,0
26,0.433,0.349,0.0,1
27,0.18,0.014,0.0,0
28,0.929,0.343,1.0,1
29,0.57,0.689,1.0,0
30,0.663,0.012,1.0,1
31,0.27,0.922,0.0,1
