,x1,x2,resp,correct
0,0.194,0.998,0.0,1
1,0.098,0.806,0.0,1
2,0.155,0.163,1.0,1
3,0.866,0.519,0.0,1
4,0.295,0.319,1.0,1
5,0.963,0.665,0.0,1
6,0.438,0.702,0.0,1
7,0.545,0.261,1.0,1
8,0.148,0.656,0.0,1
9,0.869,0.039,1.0,1
10,0.942,0.147,1.0,1
11,0.723,0.422,0.0,1
12,0.355,0.069,1.0,1
13,0.983,0.392,1.0,1
14,0.174,0.423,0.0,1
15,0.455,0.435,0.0,1
16,0.867,0.87,0.0,1
17,0.701,0.131,1.0,1
18,0.837,0.273,1.0,1
19,0.584,0.016,1.0,1
20,0.644,0.927,0.0,1
21,0.976,0.932,0.0,1
22,0.402,0.969,0.0,1
23,0.014,0.316,0.0,0
24,0.067,0.599,0.0,1
25,0.285,0.855,0.0,1
26,0.022,0.045,1.0,1
27,0.544,0.857,0.0,1
28,0.449,0.205,1.0,1
29,0.737,0.714,0.0,1
30,0.534,0.597,0.0,1
31,0.307,0.597,0.0,1
