,x1,x2,resp,correct
0,0.584,0.07,1.0,1
1,0.185,0.414,1.0,0
2,0.19,0.911,1.0,0
3,0.392,0.673,0.0,1
4,0.525,0.818,0.0,1
5,0.169,0.684,1.0,0
6,0.556,0.602,0.0,1
7,0.459,0.949,0.0,1
8,0.731,0.435,1.0,0
9,0.814,0.819,0.0,1
10,0.981,0.159,1.0,1
11,0.095,0.068,1.0,1
12,0.186,0.147,1.0,1
13,0.857,0.517,0.0,1
14,0.709,0.735,0.0,1
15,0.805,0.355,1.0,1
16,0.07,0.773,1.0,0
17,0.737,0.157,1.0,1
18,0.481,0.151,1.0,1
19,0.269,0.822,1.0,0
20,0.265,0.018,1.0,1
21,0.946,0.71,0.0,1
22,0.341,0.354,1.0,1
23,0.387,0.407,1.0,0
24,0.083,0.578,1.0,0
25,0.286,0.52,1.0,0
26,0.795,0.097,1.0,1
27,0.975,0.909,0.0,1
28,0.55,0.304,0.0,0
29,0.664,0.999,0.0,1
30,0.928,0.397,0.0,0
31,0.001,0.325,1.0,1
