,x1,x2,resp,correct
0,0.395,0.779,0.0,0
1,0.053,0.725,1.0,1
2,0.707,0.091,1.0,0
3,0.198,0.328,1.0,1
4,0.083,0.222,0.0,0
5,0.32,0.413,0.0,1
6,0.972,0.55,0.0,1
7,0.85,0.19,0.0,1
8,0.306,0.694,1.0,1
9,0.704,0.595,0.0,1
10,0.675,0.261,0.0,1
11,0.83,0.712,0.0,1
12,0.302,0.197,0.0,1
13,0.973,0.08,0.0,1
14,0.006,0.394,1.0,1
15,0.308,0.93,1.0,1
16,0.564,0.39,0.0,1
17,0.395,0.016,0.0,1
18,0.393,0.353,0.0,1
19,0.18,0.821,1.0,1
20,0.014,0.922,1.0,1
21,0.864,0.91,0.0,1
22,0.445,0.595,0.0,0
23,0.135,0.07,0.0,1
24,0.219,0.514,1.0,1
25,0.588,0.909,0.0,0
26,0.842,0.419,0.0,1
27,0.517,0.664,0.0,0
28,0.965,0.312,1.0,0
29,0.696,0.791,0.0,1
30,0.579,0.214,0.0,1
31,0.965,0.847,0.0,1
