,x1,x2,resp,correct
0,0.516,0.022,1.0,1
1,0.167,0.226,1.0,1
2,0.463,0.446,0.0,1
3,0.672,0.715,0.0,1
4,0.664,0.211,0.0,0
5,0.017,0.052,1.0,1
6,0.775,0.819,0.0,1
7,0.161,0.73,1.0,0
8,0.346,0.312,1.0,1
9,0.072,0.553,1.0,0
10,0.533,0.347,0.0,0
11,0.178,0.93,1.0,0
12,0.532,0.516,0.0,1
13,0.973,0.996,1.0,0
14,0.823,0.08,1.0,1
15,0.742,0.453,0.0,1
16,0.03,0.852,1.0,0
17,0.938,0.151,1.0,1
18,0.937,0.65,1.0,0
19,0.353,0.066,0.0,0
20,0.442,0.202,0.0,0
21,0.779,0.528,0.0,1
22,0.174,0.387,1.0,1
23,0.283,0.813,1.0,0
24,0.465,0.73,1.0,0
25,0.078,0.332,1.0,1
26,0.465,0.905,1.0,0
27,0.859,0.27,1.0,1
28,0.297,0.579,1.0,0
29,0.737,0.926,1.0,0
30,0.571,0.867,1.0,0
31,0.938,0.422,1.0,0
