,x1,x2,resp,correct
0,0.051,0.688,0.0,1
1,0.199,0.515,0.0,1
2,0.016,0.904,0.0,1
3,0.401,0.817,1.0,0
4,0.719,0.073,1.0,1
5,0.163,0.781,0.0,1
6,0.716,0.604,1.0,1
7,0.827,0.656,1.0,1
8,0.733,0.352,1.0,1
9,0.167,0.013,0.0,1
10,0.312,0.166,0.0,1
11,0.953,0.793,1.0,1
12,0.453,0.002,1.0,0
13,0.601,0.153,1.0,1
14,0.911,0.525,1.0,1
15,0.146,0.27,0.0,1
16,0.596,0.441,1.0,0
17,0.003,0.205,0.0,1
18,0.798,0.909,1.0,1
19,0.812,0.448,1.0,1
20,0.559,0.946,1.0,0
21,0.97,0.012,1.0,1
22,0.319,0.964,0.0,1
23,0.785,0.193,1.0,1
24,0.519,0.712,1.0,0
25,0.399,0.279,1.0,0
26,0.286,0.469,0.0,1
27,0.033,0.427,0.0,1
28,0.338,0.65,0.0,1
29,0.685,0.866,1.0,1
30,0.903,0.326,1.0,1
31,0.408,0.537,1.0,0
