,x1,x2,resp,correct
0,0.139,0.275,1.0,1
1,0.031,0.218,1.0,1
2,0.306,0.213,1.0,1
3,0.082,0.401,1.0,1
4,0.986,0.314,1.0,1
5,0.44,0.324,1.0,1
6,0.822,0.441,1.0,1
7,0.775,0.736,0.0,1
8,0.975,0.009,1.0,1
9,0.548,0.947,0.0,1
10,0.945,0.608,0.0,1
11,0.262,0.707,0.0,1
12,0.068,0.715,0.0,1
13,0.171,0.568,1.0,1
14,0.698,0.545,1.0,1
15,0.719,0.059,1.0,1
16,0.348,0.927,0.0,1
17,0.547,0.209,1.0,1
18,0.599,0.456,1.0,1
19,0.171,0.071,1.0,1
20,0.966,0.84,0.0,1
21,0.474,0.014,1.0,1
22,0.225,0.796,0.0,1
23,0.704,0.822,0.0,1
24,0.799,0.92,0.0,1
25,0.431,0.516,1.0,1
26,0.01,0.998,0.0,1
27,0.566,0.716,0.0,1
28,0.782,0.164,1.0,1
29,0.42,0.8,0.0,1
30,0.735,0.297,1.0,1
31,0.268,0.441,1.0,1
