,x1,x2,resp,correct
0,0.56,0.997,1.0,1
1,0.088,0.204,0.0,0
2,0.2,0.775,1.0,1
3,0.688,0.072,0.0,1
4,0.58,0.671,1.0,1
5,0.41,0.355,0.0,0
6,0.403,0.578,0.0,0
7,0.184,0.09,1.0,1
8,0.664,0.525,0.0,1
9,0.433,0.841,1.0,1
10,0.657,0.341,1.0,0
11,0.349,0.644,1.0,1
12,0.996,0.023,1.0,0
13,0.823,0.975,0.0,0
14,0.443,0.098,0.0,1
15,0.957,0.541,0.0,1
16,0.157,0.613,1.0,1
17,0.001,0.944,0.0,0
18,0.308,0.386,0.0,0
19,0.853,0.685,0.0,1
20,0.914,0.819,1.0,1
21,0.345,0.166,0.0,1
22,0.57,0.18,0.0,1
23,0.347,0.918,1.0,1
24,0.924,0.276,1.0,0
25,0.87,0.485,0.0,1
26,0.71,0.86,0.0,0
27,0.797,0.179,1.0,0
28,0.057,0.659,1.0,1
29,0.143,0.31,0.0,0
30,0.554,0.44,0.0,1
31,0.036,0.4,1.0,1
