,x1,x2,resp,correct
0,0.559,0.735,1.0,1
1,0.089,0.469,1.0,1
2,0.343,0.687,1.0,1
3,0.782,0.171,0.0,1
4,0.534,0.149,0.0,1
5,0.3,0.42,1.0,1
6,0.709,0.282,0.0,1
7,0.209,0.288,1.0,0
8,0.088,0.154,1.0,0
9,0.705,0.599,0.0,1
10,0.446,0.292,1.0,0
11,0.929,0.017,0.0,1
12,0.774,0.926,1.0,1
13,0.556,0.993,1.0,1
14,0.736,0.042,0.0,1
15,0.06,0.726,1.0,1
16,0.609,0.483,0.0,1
17,0.325,0.226,1.0,0
18,0.458,0.084,1.0,0
19,0.95,0.266,0.0,1
20,0.864,0.697,1.0,0
21,0.156,0.018,1.0,0
22,0.156,0.564,1.0,1
23,0.454,0.541,0.0,1
24,0.049,0.994,1.0,1
25,0.65,0.834,1.0,1
26,0.772,0.468,0.0,1
27,0.998,0.568,0.0,1
28,0.339,0.932,1.0,1
29,0.142,0.792,1.0,1
30,0.963,0.789,1.0,0
31,0.423,0.812,1.0,1
