,x1,x2,resp,correct
0,0.059,0.609,0.0,1
1,0.179,0.211,0.0,1
2,0.176,0.428,0.0,1
3,0.322,0.587,0.0,1
4,0.417,0.713,0.0,0
5,0.607,0.844,1.0,1
6,0.033,0.096,0.0,1
7,0.346,0.35,0.0,1
8,0.798,0.792,1.0,1
9,0.663,0.971,1.0,1
10,0.43,0.386,0.0,1
11,0.147,0.986,0.0,0
12,0.42,0.175,0.0,1
13,0.733,0.688,1.0,1
14,0.903,0.74,1.0,1
15,0.076,0.846,0.0,1
16,0.905,0.193,0.0,1
17,0.097,0.276,0.0,1
18,0.195,0.73,0.0,1
19,0.986,0.955,1.0,1
20,0.845,0.281,0.0,0
21,0.324,0.074,0.0,1
22,0.974,0.469,1.0,1
23,0.54,0.348,1.0,0
24,0.681,0.482,1.0,1
25,0.68,0.195,0.0,1
26,0.614,0.029,0.0,1
27,0.277,0.783,1.0,0
28,0.825,0.074,0.0,1
29,0.531,0.538,1.0,0
30,0.786,0.569,1.0,1
31,0.405,0.927,1.0,1
