,x1,x2,resp,correct
0,0.307,0.466,1.0,1
1,0.428,0.259,1.0,1
2,0.529,0.473,1.0,1
3,0.972,0.837,0.0,1
4,0.22,0.309,1.0,1
5,0.428,0.049,1.0,1
6,0.436,0.866,0.0,1
7,0.944,0.59,1.0,1
8,0.739,0.356,1.0,1
9,0.598,0.961,0.0,1
10,0.585,0.672,0.0,1
11,0.836,0.654,0.0,1
12,0.534,0.168,1.0,1
13,0.405,0.571,1.0,1
14,0.973,0.348,1.0,1
15,0.772,0.474,1.0,1
16,0.046,0.178,1.0,1
17,0.195,0.855,0.0,1
18,0.083,0.697,0.0,1
19,0.345,0.701,0.0,1
20,0.703,0.611,0.0,1
21,0.653,0.006,1.0,1
22,0.144,0.608,0.0,1
23,0.821,0.185,1.0,1
24,0.267,0.912,0.0,1
25,0.087,0.912,0.0,1
26,0.809,0.946,0.0,1
27,0.185,0.042,1.0,1
28,0.29,0.208,1.0,1
29,0.094,0.418,1.0,1
30,0.939,0.036,1.0,1
31,0.727,0.782,0.0,1
