,x1,x2,resp,correct
0,0.974,0.168,0.0,1
1,0.157,0.969,1.0,1
2,0.692,0.661,0.0,1
3,0.95,0.415,0.0,1
4,0.731,0.389,0.0,1
5,0.851,0.004,0.0,1
6,0.54,0.305,1.0,1
7,0.326,0.018,1.0,1
8,0.707,0.926,0.0,1
9,0.053,0.025,1.0,1
10,0.417,0.17,1.0,1
11,0.191,0.417,1.0,1
12,0.219,0.72,1.0,1
13,0.413,0.398,1.0,1
14,0.963,0.936,0.0,1
15,0.045,0.305,1.0,1
16,0.289,0.606,1.0,1
17,0.271,0.347,1.0,1
18,0.552,0.834,1.0,1
19,0.393,0.742,1.0,1
20,0.261,0.87,1.0,1
21,0.838,0.319,0.0,1
22,0.865,0.604,0.0,1
23,0.549,0.517,1.0,1
24,0.008,0.85,1.0,1
25,0.905,0.71,0.0,1
26,0.092,0.538,1.0,1
27,0.688,0.188,0.0,1
28,0.791,0.79,0.0,1
29,0.614,0.073,0.0,1
30,0.149,0.145,1.0,1
31,0.407,0.976,1.0,1
