,x1,x2,resp,correct
0,0.27,0.922,0.0,1
1,0.97,0.01,1.0,1
2,0.646,0.793,0.0,1
3,0.787,0.927,0.0,1
4,0.132,0.567,0.0,1
5,0.663,0.012,1.0,1
6,0.787,0.214,1.0,1
7,0.729,0.539,1.0,1
8,0.32,0.718,0.0,1
9,0.07,0.4,0.0,1
10,0.343,0.156,1.0,1
11,0.188,0.863,0.0,1
12,0.958,0.792,1.0,1
13,0.387,0.608,0.0,1
14,0.57,0.689,0.0,1
15,0.789,0.742,1.0,0
16,0.66,0.27,1.0,1
17,0.343,0.405,0.0,1
18,0.424,0.869,0.0,1
19,0.531,0.453,1.0,0
20,0.969,0.614,1.0,1
21,0.148,0.275,0.0,1
22,0.606,0.975,0.0,1
23,0.433,0.349,1.0,0
24,0.09,0.202,0.0,1
25,0.929,0.343,1.0,1
26,0.806,0.459,1.0,1
27,0.18,0.014,1.0,1
28,0.574,0.181,1.0,1
29,0.002,0.993,0.0,1
30,0.055,0.674,0.0,1
31,0.469,0.09,1.0,1
